brand,avg_price,median_price,price_std,product_count,avg_rating,total_reviews
Apple,8.99,8.99,,1,4.7,2922.0
FOTGA,8.99,8.99,,1,5.0,7.0
Teskyer,8.99,8.99,,1,4.8,21.0
Yonlevres,8.99,8.99,,1,4.4,1783.0
i-Tensodo,8.99,8.99,,1,4.2,713.5
RetailAndBulk,8.99,8.99,,1,4.6,2443.0
ChromLives,8.99,8.99,,1,4.2,2116.0
FocusFoto,8.98,8.98,,1,4.6,434.0
RAM MOUNTS,8.49,8.49,,1,4.7,3677.0
LUOSIKE,7.99,7.99,,1,4.6,3226.0
HMROPE,7.99,7.99,,1,4.3,9986.0
ULBTER,7.98,7.98,0.01,2,4.6,4450.0
iMah,7.95,7.95,,1,4.6,10806.0
Doormoon,7.94,7.94,1.35,2,4.45,5127.0
Kruta,7.94,7.94,1.34,2,4.55,15057.0
Scotch,7.74,7.74,3.17,2,4.75,6563.0
Spigen,7.7,7.7,,1,4.4,8045.0
HUIPUXIANG,7.69,7.69,,1,4.5,127.0
ENEGON,7.59,7.59,,1,4.7,5084.0
Metra,7.5,7.5,,1,4.4,11507.0
Fotasy,7.49,7.49,,1,4.6,2453.0
HATALKIN,7.48,7.48,3.53,2,4.6,22004.0
Sqrmekoko,6.99,6.99,,1,4.5,54.0
MUXA,6.99,6.99,,1,4.6,2510.0
Suptig,6.99,6.99,,1,4.7,5188.0
MenoSupp,6.99,6.99,,1,4.3,10328.0
Deluxe Batteries,6.99,6.99,,1,4.8,45.0
Mupoer,6.98,6.98,,1,4.5,2185.0
Rainy King,6.47,6.47,,1,4.6,1236.0
NECABLES,6.39,6.39,0.0,2,4.4,996.0
THE BIRCH & CO. BRAND,6.39,6.39,,1,4.7,293.0
Uinkit,6.39,6.39,,1,4.6,889.0
RUGLAMZHIP,6.28,6.28,,1,4.7,337.0
AOHRO,5.99,5.99,,1,4.2,299.0
Wuitaouy,5.99,5.99,,1,4.4,12.0
QDiShi,5.98,5.98,,1,4.3,511.0
DDJ,5.94,5.94,,1,4.6,10208.0
Ferilinso,5.82,5.82,,1,4.3,23712.0
JJUNW,5.79,5.79,,1,4.1,28.0
LOVYONES,5.38,5.38,,1,4.7,1162.0
xiwxi,5.03,5.03,,1,4.6,7804.0
BOHUIZ,4.99,4.99,,1,4.4,713.5
DLENP,4.99,4.99,,1,4.5,7878.0
Vesslam,4.49,4.49,,1,4.7,20.0
Karoka,3.99,3.99,,1,4.6,713.5
SanDisk,3.86,3.86,,1,4.7,8467.0
